iter	RMSE
0	11649.02307
1	11212.77112
2	10816.2821
3	10418.5576
4	10097.16434
5	9780.72696
6	9458.463824
7	9176.799121
8	8945.086967
9	8651.215102
10	8390.009079
11	8163.554262
12	7949.220811
13	7727.874628
14	7511.853497
15	7309.372494
16	7128.656717
17	6952.754847
18	6792.362773
19	6637.880516
20	6497.4527
21	6362.020425
22	6229.542811
23	6099.194254
24	5980.275625
25	5871.58975
26	5773.534118
27	5677.260165
28	5590.266984
29	5506.539721
30	5429.71533
31	5348.841599
32	5280.419101
33	5220.894299
34	5156.137497
35	5100.794316
36	5048.753113
37	5003.430849
38	4954.706948
39	4914.227099
40	4876.35052
41	4838.344713
42	4801.467372
43	4767.155715
44	4736.20607
45	4710.835421
46	4686.416438
47	4660.981945
48	4633.764419
49	4618.849235
50	4596.783236
51	4574.476152
52	4555.19844
53	4534.767052
54	4515.695296
55	4504.360157
56	4488.38508
57	4473.133013
58	4460.349701
59	4444.309635
60	4437.112645
61	4425.046739
62	4410.150958
63	4399.872884
64	4388.364953
65	4376.542192
66	4363.535268
67	4352.973371
68	4347.375406
69	4338.357777
70	4328.84756
71	4320.312054
72	4308.463941
73	4300.161742
74	4297.642565
75	4287.810541
76	4282.172958
77	4274.379829
78	4269.593593
79	4265.600881
80	4259.097753
81	4253.713985
82	4247.716184
83	4240.993164
84	4236.514399
85	4232.484312
86	4230.882747
87	4227.886893
88	4223.736578
89	4219.811758
90	4215.196929
91	4208.71441
92	4202.407951
93	4197.462054
94	4194.610319
95	4188.58031
96	4184.932532
97	4181.357305
98	4175.309057
99	4172.349051
