iter	Passed	Remaining
0	1	107
1	1	78
2	2	78
3	3	77
4	3	69
5	4	70
6	5	71
7	6	71
8	6	65
9	6	62
10	7	60
11	8	61
12	9	62
13	10	62
14	11	63
15	11	62
16	12	60
17	13	60
18	14	60
19	15	61
20	16	61
21	16	59
22	17	58
23	18	58
24	19	57
25	20	57
26	20	56
27	21	56
28	22	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	50	28
64	50	27
65	51	26
66	52	26
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
